Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,1.880000,1.890000,1.860000,1.890000,1.890000,1868757
2016-12-07,1.890000,1.900000,1.880000,1.900000,1.900000,1779023
2016-12-08,1.900000,1.920000,1.890000,1.920000,1.920000,2108087
2016-12-09,1.910000,1.940000,1.890000,1.900000,1.900000,2528674
2016-12-12,1.890000,1.930000,1.890000,1.920000,1.920000,4722261
2016-12-13,1.930000,1.950000,1.920000,1.940000,1.940000,2830379
2016-12-14,1.940000,1.940000,1.900000,1.910000,1.910000,3451499
2016-12-15,1.970000,2.010000,1.940000,1.950000,1.950000,18046170
2016-12-16,1.980000,2.080000,1.970000,2.050000,2.050000,33371220
2016-12-19,2.100000,2.200000,2.070000,2.190000,2.190000,13144267
2016-12-20,2.180000,2.190000,2.050000,2.050000,2.050000,9155808
2016-12-21,2.060000,2.120000,2.060000,2.080000,2.080000,4667912
2016-12-22,2.080000,2.150000,2.070000,2.150000,2.150000,7294701
2016-12-23,2.150000,2.170000,2.100000,2.110000,2.110000,4387985
2016-12-28,2.110000,2.160000,2.110000,2.140000,2.140000,4494824
2016-12-29,2.170000,2.180000,2.150000,2.170000,2.170000,3823571
2016-12-30,2.180000,2.180000,2.160000,2.160000,2.160000,2626353
2017-01-03,2.160000,2.280000,2.160000,2.280000,2.280000,12430263
2017-01-04,2.290000,2.410000,2.290000,2.410000,2.410000,12944515
2017-01-05,2.430000,2.490000,2.310000,2.340000,2.340000,14895974
2017-01-06,2.310000,2.350000,2.260000,2.300000,2.300000,6463614
2017-01-09,2.310000,2.380000,2.280000,2.370000,2.370000,5711504
2017-01-10,2.380000,2.520000,2.380000,2.470000,2.470000,14006709
2017-01-11,2.530000,2.590000,2.500000,2.590000,2.590000,16319426
2017-01-12,2.580000,2.580000,2.510000,2.560000,2.560000,8941241
2017-01-13,2.570000,2.600000,2.560000,2.590000,2.590000,5270705
2017-01-16,2.580000,2.620000,2.580000,2.620000,2.620000,3383883
2017-01-17,2.640000,2.760000,2.620000,2.750000,2.750000,12162683
2017-01-18,2.750000,2.750000,2.590000,2.650000,2.650000,14494770
2017-01-19,2.610000,2.700000,2.610000,2.680000,2.680000,4258660
2017-01-20,2.680000,2.710000,2.590000,2.610000,2.610000,8576834
2017-01-23,2.610000,2.620000,2.470000,2.500000,2.500000,11463087
2017-01-24,2.530000,2.590000,2.530000,2.580000,2.580000,5699587
2017-01-25,2.580000,2.620000,2.550000,2.600000,2.600000,4799820
2017-01-26,2.610000,2.620000,2.560000,2.570000,2.570000,3294050
2017-01-27,2.540000,2.570000,2.530000,2.540000,2.540000,2792875
2017-01-30,2.530000,2.530000,2.430000,2.490000,2.490000,5837527
2017-01-31,2.460000,2.490000,2.440000,2.490000,2.490000,4737553
2017-02-01,2.500000,2.580000,2.500000,2.570000,2.570000,3794386
2017-02-02,2.570000,2.610000,2.550000,2.570000,2.570000,4074766
2017-02-03,2.560000,2.600000,2.550000,2.590000,2.590000,4900071
2017-02-06,2.560000,2.580000,2.555000,2.580000,2.580000,1779005
2017-02-07,2.570000,2.610000,2.540000,2.550000,2.550000,4878836
2017-02-08,2.640000,2.680000,2.570000,2.600000,2.600000,7526858
2017-02-09,2.600000,2.620000,2.550000,2.550000,2.550000,4792826
2017-02-10,2.560000,2.580000,2.550000,2.570000,2.570000,1707845
