,Return,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
0,0.1465,0.011838826,0.008181835,0.009834923,0.003279532,0.007280011,0.017415379,-0.001370928,0.007058938,-0.013184428,0.010996194
1,0.9031,0.008181835,0.007063288,0.008207932,0.003967723,0.005458125,0.013014562,-0.000600525,0.005885937,-0.010116381,0.008681743
2,0.0769,0.009834923,0.008207932,0.011039047,0.003827584,0.007353418,0.017705306,-0.00144791,0.006398551,-0.012804989,0.011075105
3,0.0940,0.003279532,0.003967723,0.003827584,0.034111051,0.001837483,0.004494833,0.000287265,0.004280616,-0.005437054,0.003056059
4,0.2831,0.007280011,0.005458125,0.007353418,0.001837483,0.00579651,0.013893144,-0.001742936,0.005103847,-0.009706099,0.007396933
5,0.2056,0.017415379,0.013014562,0.017705306,0.004494833,0.013893144,0.03462336,-0.004599592,0.013692413,-0.024277052,0.017413491
6,0.1037,-0.001370928,-0.000600525,-0.00144791,0.000287265,-0.001742936,-0.004599592,0.001642471,-0.001502667,0.002833758,-0.000858047
7,0.0024,0.007058938,0.005885937,0.006398551,0.004280616,0.005103847,0.013692413,-0.001502667,0.015276251,-0.012210512,0.005651618
8,0.0270,-0.013184428,-0.010116381,-0.012804989,-0.005437054,-0.009706099,-0.024277052,0.002833758,-0.012210512,0.019165231,-0.012049378
9,0.8350,0.010996194,0.008681743,0.011075105,0.003056059,0.007396933,0.017413491,-0.000858047,0.005651618,-0.012049378,0.013523891
